# tlstore catalog	serial=2026092505
# generated by scripts/build-catalog.sh from scripts/items.tsv — do not edit
# name	kind	version	prefixes	source	digest	target	requires	options	summary	category	upstream	setup	standfirst	does1	does2	does3	try	notes	author	licence	size	picture	picture-digest	demo	featured	readme-skip	readme	readme-digest	demo-digest
btop	binary	1.4.7	*	binaries:btop@2026.09.25-2	3d06ca1530ffcbae3a1ae147c0ff6706b60892af1005a0af0d7862cc0e69ca5e	-	tl-priv	priv=shizuku;host=launcher;min-launcher=0.2.38	A resource monitor with the whole phone in view, run as the shell user through Shizuku.	Tools	aristocratos/btop	0	a resource monitor for the whole phone	Graphs cpu, memory, disks and network	Lists every process on the phone	Shows one process in close detail	btop	needs Shizuku running and permission granted to Termux:Launcher|processes can be viewed but not killed, and network stats come from /proc/net/dev	aristocratos	Apache-2.0	~2.5 MB	binaries:scripts/pictures/btop.jpg@2026.09.25-2	a75e51f002ebe4ffd3e8e70878a6c0f34930d0b6695eb86d2077be25bb60f96f	binaries:hero/btop.png@2026.09.25-2	0	Index|News|Documents|Themes|Support and funding|Prerequisites|Screenshots|Compilation Linux|Compilation macOS OSX|Compilation FreeBSD|Compilation NetBSD|Compilation OpenBSD|Testing|Installing the snap|Configurability	binaries:readme/btop.md@2026.09.25-2	60c86ef5e6884fba0aed66c125c98a2927cafffb93f1ee73260c41ecd2997d34	16fe9f5460d6c49c2f830cb9c29c2a8abde4118931144419870da4e8afb11739
claude-code	npm-musl	latest	com.termux,io.vaj.tl	npm:@anthropic-ai/claude-code-linux-arm64-musl#claude	-	-	musl-loader,claude-panes-skill	env=DISABLE_AUTOUPDATER=1;tz=1;build=patchelf	Anthropic's Claude Code, about 200 MB.	AI	anthropics/claude-code	0	a coding agent that lives in your terminal	Reads your codebase and explains it	Writes code from plain language requests	Handles git commits, branches and diffs	claude	about 200 mb|needs a claude.ai account to sign in	Anthropic	Proprietary	~200 MB	launcher:scripts/tlstore/pictures/claude-code.jpg@5253e29ae8e128aad09b08fd57eb115ba66140d8	ea6d4cd3bf3211314e853595b1f5ac0c1a35441ceab4f28742d7fc7e0a8152ed	binaries:hero/claude-code.png@2026.09.24	0	-	binaries:readme/claude-code.md@2026.09.24	f500943fad02242f5dbfac55f61b8fe65e847329d327094b32e4be2ae84224c6	6b89f5efdd33c355f00e226c879041e9895e5ed55e481361ae9720c47a0b083a
dawn	binary	0.1.3+0e958747.2	com.termux	binaries:dawn@2026.09.23	ebc0fd274cc221c7de7777ba089b03a5c5929228d391b91e5d1f76b547febf3f	-	dawn-libs	-	A quiet place to write, with your markdown taking shape as you type.	Note taking	andrewmd5/dawn	0	a quiet place to write, headings and all	Shows headings and quotes as you type	Keeps your file plain markdown on disk	Displays a linked picture in place	dawn notes.md	looks best in this launcher's terminal	andrewmd5	MIT	-	launcher:scripts/tlstore/pictures/dawn.jpg@5253e29ae8e128aad09b08fd57eb115ba66140d8	64824bf316834811ee3e1cd0f54d387933ca0f8fefa5a6ab0e5a9e163e623dda	binaries:hero/dawn.png@2026.09.24	1	Portability	binaries:readme/dawn.md@2026.09.24	f68054bbd4b57def407df916aa2aa53c3206028287822c67f372cc50bde84a1f	5649c95d732c495e7feb74ab56f03f9d15231d45b679ecb4740e43f78df504c2
dawn	binary	0.1.3+0e958747.2	io.vaj.tl	binaries:dawn-io.vaj.tl@2026.09.23	7f5084982e5319af2f75bf6b50b66fd646509b1bcfa31861c5b8c29201282f23	-	dawn-libs	-	A quiet place to write, with your markdown taking shape as you type.	Note taking	andrewmd5/dawn	0	a quiet place to write, headings and all	Shows headings and quotes as you type	Keeps your file plain markdown on disk	Displays a linked picture in place	dawn notes.md	looks best in this launcher's terminal	andrewmd5	MIT	-	launcher:scripts/tlstore/pictures/dawn.jpg@5253e29ae8e128aad09b08fd57eb115ba66140d8	64824bf316834811ee3e1cd0f54d387933ca0f8fefa5a6ab0e5a9e163e623dda	binaries:hero/dawn.png@2026.09.24	1	Portability	binaries:readme/dawn.md@2026.09.24	f68054bbd4b57def407df916aa2aa53c3206028287822c67f372cc50bde84a1f	5649c95d732c495e7feb74ab56f03f9d15231d45b679ecb4740e43f78df504c2
fastfetch	binary	2.67.0	com.termux	binaries:fastfetch@2026.09.02	eb99944ca4879a77e67d5ce3c9c57393ef843ddab4a162f3d03584cdb04b3e85	-	fastfetch-libs,fastfetch-config	host=launcher	System information beside an animated logo — drop any GIF at ~/Pictures/gif/skel.gif.	Tools	fastfetch-cli/fastfetch	0	system info beside an animated logo	Shows system info in a tidy list	Plays a gif you drop in as the logo	Reads your device, shell and battery	fastfetch	only runs in this launcher's terminal	fastfetch-cli	MIT	-	launcher:scripts/tlstore/pictures/fastfetch.jpg@5253e29ae8e128aad09b08fd57eb115ba66140d8	cc2053d3cab20e5288f12a6e8efdcaec1daaaaa8f83b7d19ff53ff544508b7bd	-	0	-	binaries:readme/fastfetch.md@2026.09.24	dc75764fa7272597f9d4bfc1cd8cbe6b3779e72ee5a04c723a11553a9540c139	-
fastfetch	binary	2.67.0	io.vaj.tl	binaries:fastfetch-io.vaj.tl@2026.09.02	9991dc6ddcdd3071ae0fdc40b638387a8360af76ec94d893303852fd3e80b5e7	-	fastfetch-libs,fastfetch-config	host=launcher	System information beside an animated logo — drop any GIF at ~/Pictures/gif/skel.gif.	Tools	fastfetch-cli/fastfetch	0	system info beside an animated logo	Shows system info in a tidy list	Plays a gif you drop in as the logo	Reads your device, shell and battery	fastfetch	only runs in this launcher's terminal	fastfetch-cli	MIT	-	launcher:scripts/tlstore/pictures/fastfetch.jpg@5253e29ae8e128aad09b08fd57eb115ba66140d8	cc2053d3cab20e5288f12a6e8efdcaec1daaaaa8f83b7d19ff53ff544508b7bd	-	0	-	binaries:readme/fastfetch.md@2026.09.24	dc75764fa7272597f9d4bfc1cd8cbe6b3779e72ee5a04c723a11553a9540c139	-
fish-shell	bundle	-	*	-	-	-	fish,config-fish,personal-fish,oh-my-posh,eza,zoxide,fisher,fish-plugins	-	The fish shell with the launcher's setup: the wallpaper prompt, a nicer ls and quicker directory jumping.	Tools	-	1	shell setup with a matching prompt	Follows your wallpaper in the prompt	Jumps to used directories by name	Colours ls output with icons	fish	-	-	-	-	-	-	-	0	-	-	-	-
kitten	binary	0.48.2	*	binaries:kitten@2026.09.02	274ff935007bd6aa28dd7ef71439b52e10c2d7e0641f4413fd959508a74bf8c7	-	-	-	Kitty's companion tool, for images and files in the terminal.	Tools	kovidgoyal/kitty	0	a companion for pictures and files	Shows pictures right in the terminal	Sends files between machines	Compares files side by side	kitten --help	best in a kitty-compatible terminal	Kovid Goyal	GPL-3.0	-	launcher:scripts/tlstore/pictures/kitten.jpg@5253e29ae8e128aad09b08fd57eb115ba66140d8	eebfa4e601ba2fef309432bb1849aa475c4de989a6d37e4c021b886426236641	-	0	-	-	-	-
opencode	npm-musl	latest	com.termux,io.vaj.tl	npm:opencode-linux-arm64-musl#bin/opencode	-	-	musl-loader,musl-libstdcxx,musl-libgcc	env=OPENCODE_DISABLE_AUTOUPDATE=1;tz=1;build=patchelf;musl-libs=musl-libstdcxx,musl-libgcc	The open source coding agent, about 200 MB.	AI	anomalyco/opencode	0	an open source agent for the terminal	Writes and edits code from your prompts	Talks to the provider you choose	Keeps its own updater switched off	opencode	about 200 mb|needs a provider account to sign in	anomalyco	MIT	~200 MB	launcher:scripts/tlstore/pictures/opencode.jpg@5253e29ae8e128aad09b08fd57eb115ba66140d8	628951d862fe56794a8e1f46d979566f978c9e855757f9b8c5285d65e4151e8e	-	0	-	binaries:readme/opencode.md@2026.09.24	a37640d1d270310d023476c25d2d84ab4aecba2f8cd3c8d340778d3407ee4b30	-
sigye	binary	0.6.0	*	binaries:sigye@2026.09.02	be095e85f54c2a462b924ce21916a6586580713785ab5efc79b63050eead5eea	-	-	-	A clock for the terminal.	Tools	am2rican5/sigye	0	a clock built for the terminal	Shows the time in ascii art	Switches between clock styles	Cycles through colour themes	sigye	-	am2rican5	MIT	-	launcher:scripts/tlstore/pictures/sigye.jpg@5253e29ae8e128aad09b08fd57eb115ba66140d8	caf1206989e845c3433824f88df182c1e1f6d4dd2748dd630e2876cba1dfb666	binaries:hero/sigye.png@2026.09.24	0	-	binaries:readme/sigye.md@2026.09.24	247db968439c9ec033b85abc1489066340000e02d0dd81f9c55169118b5b1e8d	de5ffcd3db2007168c7ba023303d24552113a56ed99268e579ba811b96d31211
config-fish	file	e4422e22	*	launcher:docs/en/examples/config.fish@e4422e22c5a7a760c5bb1391e5978c8c7b36eb5f	d1930211ae6adfaeae8926859aedaac38aa64fa9caa320b7121ab60284757f4a	~/.config/fish/config.fish	fish	hidden=1	The launcher's fish configuration.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-
